id,study_id,exp_id,test,measure,effect_direction,effect_direction_correction,n_ctrl,mean_ctrl,sd_ctrl,n_mino,mean_mino,sd_mino
87,Tong_2017,Tong_2017_Group6,Forced swim,immobility,Flipped,-1,12,138.9382025,14.76097537,12,111.3280667,10.92974004
88,Tong_2017,Tong_2017_Group6,Sucrose preference,% preference,Auto,1,12,36.96195968,9.864482545,12,67.09958993,16.85569835
89,Vogt_2016,Vogt_2016,Forced swim,latency to immobility,Auto,1,13,3.93226378,2.527427915,26,6.074005906,6.348295783
90,Vogt_2016,Vogt_2016,Forced swim,immobility,Flipped,-1,13,71.47757459,9.708435757,26,74.94188053,11.12349274
91,Wang_2017,Wang_2017_Group1,Sucrose preference,% preference,Auto,1,8,73.56851527,9.914447417,8,78.30264715,13.32188409
92,Wang_2017,Wang_2017_Group1,Forced swim,immobility,Flipped,-1,8,100.0480307,15.30135059,8,72.83542363,20.65271161
93,Wang_2017,Wang_2017_Group2,Sucrose preference,% preference,Auto,1,9,45.07613733,23.14555126,9,77.62207544,20.71211025
94,Wang_2017,Wang_2017_Group2,Forced swim,immobility,Flipped,-1,9,147.3707161,33.01388184,9,84.02498943,38.40167291
95,Wong_2016,Wong_2016_Group1,Forced swim,immobility,Flipped,-1,12,211.1302437,8.64031474,12,216.1505215,10.63423379
96,Wong_2016,Wong_2016_Group2,Forced swim,immobility,Flipped,-1,15,221.4380798,17.09106251,15,206.0094659,16.53374491
97,Xie_2014,Xie_2014_Group1,Forced swim,immobility,Flipped,-1,5,77.80446358,11.71419384,6,75.76653864,10.89799391
98,Xie_2014,Xie_2014_Group1,Sucrose preference,% preference,Auto,1,5,79.87574883,5.80474717,6,78.23829598,5.673990003
99,Xie_2014,Xie_2014_Group2,Forced swim,immobility,Flipped,-1,6,168.5085034,15.65523586,5,115.340797,17.08241645
100,Xie_2014,Xie_2014_Group2,Sucrose preference,% preference,Auto,1,6,57.27091191,6.554436742,5,68.45351674,7.099652261
101,Xu_2017,Xu_2017_Group1,Forced swim,immobility,Flipped,-1,12,71.93509347,25.70185499,12,62.45097741,23.2086816
102,Xu_2017,Xu_2017_Group1,Sucrose preference,% preference,Auto,1,12,0.8573950617,0.1241089245,12,0.7951481481,0.09686654516
103,Xu_2017,Xu_2017_Group2,Forced swim,immobility,Flipped,-1,12,117.1780879,43.01798901,12,75.2356574,30.15563407
104,Xu_2017,Xu_2017_Group2,Sucrose preference,% preference,Auto,1,12,0.4727283951,0.2638063063,12,0.7066296296,0.1741245645
105,Zheng_2014,Zheng_2014,Sucrose preference,% preference,Auto,1,6,52.12271441,4.400793887,6,63.88980517,16.9236588
106,Zheng_2014,Zheng_2014,Sucrose preference,sucrose water intake,Auto,1,6,13.03795645,1.662027016,6,18.5800789,1.644425045
107,Zheng_2015,Zheng_2015_Group1,Tail suspension,immobility,Flipped,-1,10,105.4934278,19.90146605,10,106.752207,21.80905359
108,Zheng_2015,Zheng_2015_Group1,Forced swim,immobility,Flipped,-1,10,88.49816464,31.27401003,10,92.05882774,26.63553295
109,Zheng_2015,Zheng_2015_Group2,Tail suspension,immobility,Flipped,-1,10,156.2231846,54.74312061,10,102.2006733,38.08571225
110,Zheng_2015,Zheng_2015_Group2,Forced swim,immobility,Flipped,-1,10,133.7864988,55.93311944,10,80.42331665,36.87089789
